Clock	Heat	Temp
0	1	23.6
1	0	23.5
2	0	23.4
3	0	23.8
4	0	23.8
5	0	23.9
6	1	24.1
7	0	24.6
8	0	24.5
9	0	24.8
10	0	25.0
11	0	25.4
12	1	25.7
13	0	25.8
14	0	26.1
15	0	26.3
16	0	26.7
17	0	27.0
18	1	27.4
19	0	27.5
20	0	27.9
21	0	28.2
22	0	28.3
23	0	28.8
24	1	29.2
25	0	29.3
26	0	29.5
27	0	29.9
28	0	30.3
29	0	30.5
30	1	30.8
31	0	31.4
32	0	31.3
33	0	31.9
34	0	32.4
35	0	32.4
36	1	32.8
37	0	33.0
38	0	33.3
39	0	33.4
40	0	34.0
41	0	34.2
42	1	34.6
43	0	34.9
44	0	34.9
45	0	35.4
46	0	35.5
47	0	35.9
48	1	36.3
49	0	36.5
50	0	36.8
51	0	37.2
52	0	37.4
53	0	37.6
54	1	38.0
55	0	38.1
56	0	38.5
57	0	38.6
58	0	39.0
59	0	39.3
60	1	39.7
61	0	39.7
62	0	40.1
63	0	40.5
64	0	40.7
65	0	40.9
66	1	41.4
67	0	41.7
68	0	41.9
69	0	42.1
70	0	42.4
71	0	42.7
72	1	43.0
73	0	43.3
74	0	43.4
75	0	43.6
76	0	44.0
77	0	44.2
78	1	44.6
79	0	44.9
80	0	45.0
81	0	45.3
82	0	45.5
